MätplatsID;Namn;Vägnummer;Kommun
14052040;Ragnhildsholmen ;587;Göteborg
14054010;Grälebo södergående körriktning;27;Tranemo
14054020;Grälebo norrgående körriktning;27;Tranemo
14054030;Ranabo norrgående körriktning;27;Tranemo
14054040;Ranabo södergående körriktning;27;Tranemo
14055010;Hedegården;46;Ulricehamn
14055020;Nilsagården södergående;46;Ulricehamn
14055030;Nilsagården norrgående;46;Ulricehamn
14055040;Timmele kyrka;46;Ulricehamn
14058010;Hulttorpet;156;Mark
14058020;Kärra;156;Mark
14058030;Byhägnen östgående körriktning;156;Mark
14058040;Byhägnen västgående körriktning;156;Mark
14059010;Kärrsgärde norrgående körriktning;156;Härryda
14059020;Kärrsgärde södergående körriktning;156;Härryda
14059030;Lerviksvägen;156;Härryda
14059040;Eriksmyst;156;Härryda
14060010;Marbäck södra norrgående;157;Ulricehamn
14060020;Marbäck södra södergående;157;Ulricehamn
14060030;Marbäck norra norrgående;157;Ulricehamn
14060040;Marbäck norra södergående;157;Ulricehamn
14061010;Varekil norrgående körriktning;160;Orust
14061020;Gunnarsbo södergående körriktning;160;Orust
14061030;Hoga norrgående körriktning;160;Orust
14061040;Hoga södergående körriktning;160;Orust
14062010;Uteby norrgående körriktning;162;Lysekil
14062020;Uteby södergående körriktning;162;Lysekil
14063010;Nordmanneröd södergående;172;Uddevalla
14063020;Kopperöds viadukt norrgående;172;Uddevalla
14063030;Rothugget södergående;172;Uddevalla
14063040;Ängen norrgående;172;Uddevalla
14064010;Skäggatorp norrgående körriktning;49;Skara
14064020;Skäggatorp södergående körriktning;49;Skara
14064030;Hasslösa norrgående körriktning;49;Lidköping
14064040;Hasslösa södergående körriktning;49;Lidköping
14064050;Sävare norrgående körriktning;49;Lidköping
14064060;Sävare södergående körriktning;49;Lidköping
14065010;Trädal östgående körriktning;604;Kungälv
14065020;Trädal västgående körriktning;604;Kungälv
14066010;Tvibotten;625;Kungälv
14066020;Välan södergående körriktning;625;Kungälv
14066030;Välan norrgående körriktning;625;Kungälv
14066040;Hög;625;Kungälv
14067010;Hova norrgående körriktning;678;Uddevalla
14067020;Hova södergående körriktning;678;Uddevalla
14067030;Bratteröd norrgåede körriktning;678;Uddevalla
14067040;Bratteröd södergåede körriktning;678;Uddevalla
14068010;Bronserud norrgående körriktning;26;Gullspång
14068020;Bronserud södergående körriktning;26;Gullspång
14069010;Lyse norrgående;162;Lysekil
14069020;Lyse södergående;162;Lysekil
14069030;Heden;162;Lysekil
14069040;Gåseberg;162;Lysekil
14069050;Brodalen norrgående;162;Lysekil
14069060;Brodalen södergående;162;Lysekil
14070010;Lövnäs norrgående;164;Bengtsfors
14070020;Lövnäs södergående;164;Bengtsfors
14071010;Bäckefors södergående;166;Bengtsfors
14071020;Bäckefors norrgående;166;Bengtsfors
14072010;Ytterby östergående;168;Kungälv
14072020;Ytterby västergående;168;Kungälv
14074010;Ödegården norrgående;174;Sotenäs
14074020;Ödergården södergående;174;Sotenäs
14074030;Röseberget norrgående;174;Sotenäs
14074040;Röseberget södergående;174;Sotenäs
14075010;Hasselön;1186;Sotenäs
14076010;Kareby-Kode;574;Kungälv
14076020;Kareby södergående;574;Kungälv
14076030;Ingetorps sjö norrgående;574;Kungälv
14076040;Ingetorps sjö södergående;574;Kungälv
14077010;Röra kyrka norrgående;740;Orust
14077020;Röra kyrka södergående;740;Orust
14077030;Alekärret;740;Orust
14077040;Hogen;740;Orust
14078010;Segolstorp södergående körriktning;200;Töreboda
14078020;Segolstorp norrgående körriktning;200;Töreboda
14078030;Grimstorp;200;Gullspång
14078040;Ingelstorp;200;Gullspång
14079010;Ridskolan södergående;184;Falköping
14079020;Ridskolan norrgående;184;Falköping
14079030;Gudhems kyrka norrgående;184;Falköping
14079040;Gudhems kyrka södergående;184;Falköping
14080010;Klintegården östergående;47;Grästorp
14080020;Flakeberg västergående;47;Grästorp
14080030;Long östergående;47;Vara
14080040;Long västergående;47;Vara
14081010;Torred;503;Mölndal
14081020;Kimmersbo;503;Mölndal
14081030;Långås;503;Mölndal
14081040;Humlekärr;503;Mölndal
14082010;Upplo norrgående;42;Alingsås
14082020;Upplo södergående;42;Alingsås
14082030;Bhpl Mörlandavägen;42;Alingsås
14082040;Hultet;42;Alingsås
14083010;S Torpabron;E45;Lilla Edet
14083020;N Torpabron;E45;Trollhättan
14084010;Draget norrgående;42;Alingsås
14084020;Draget södergående;42;Trollhättan
14084030;Boryd norrgående;42;Trollhättan
14084040;Boryd södergående;42;Trollhättan
14084050;Velanda gård norrgående;42;Trollhättan
14084060;Velanda gård södergående;42;Trollhättan
14084070;Väne-Åsaka skola norrgående;42;Trollhättan
14084080;Väne-Åsaka skola södergående;42;Trollhättan
14085010;Slutarp;46;Falköping
14085020;Luttra;46;Falköping
14085030;Sköttning;46;Falköping
14085040;Gropagården;46;Falköping
14086010;Backen;47;Falköping
14086020;Sotagården;47;Falköping
14086030;Smedstorp;47;Tidaholm
14086040;Skogshyddan;47;Tidaholm
14087010;Skattegården;47;Falköping
14087020;Källegården;47;Falköping
14087030;Redberga;47;Falköping
14087040;Vallen;47;Falköping
14088010;Hagalund;154;Svenljunga
14088020;Sexdrega;154;Svenljunga
14089010;Askum östergående;171;Sotenäs
14089020;Askum västergående;171;Sotenäs
14089030;Ödstoft östergående;171;Sotenäs
14089040;Ödstoft västergående;171;Sotenäs
14089050;Skarstad västergående;171;Lysekil
14089060;Skarstad östergående;171;Lysekil
14090010;Hogdal norrgående;1040;Strömstad
14090020;Hogdal södergående;1040;Strömstad
14090030;Solhem södergående;1040;Strömstad
14090040;Solhem norrgående;1040;Strömstad
14090050;Nordby norrgående;1040;Strömstad
14090060;Nordby södergående;1040;Strömstad
14092010;Röttorp norrgående körriktning;1890;Vårgårda
14092020;Röttorp södergående körriktning;1890;Vårgårda
14092030;Lena skola norrgående körriktning;1890;Vårgårda
14092040;Lena skola södergående körriktning;1890;Vårgårda
14092050;Östadkulle norrgående körriktning;1890;Vårgårda
14092060;Sadelsten södergående körriktning;1890;Vårgårda
14093010;Infart östgående tunnelrör;E6.21;Göteborg
14093020;Tunnelmitt östgående;E6.21;Göteborg
